entry_time,entry_time_vn,entry_price,sl,tp,risk,breakout_type,close_1h_at_entry,ema200_1h_at_entry,entry_dist_ema200_pct,h1_range_high_at_breakout,ema200_1h_at_breakout,h1_range_high_dist_ema200_pct,breakout_time,breakout_time_vn,breakout_level,breakout_swing_low,retest_time,retest_time_vn,retest_low,retest_depth_pct,bars_since_breakout,side,exit_time,exit_time_vn,exit_price,result,balance
2021-05-01 00:00:00,2021-05-01 07:00:00,57500.0,56926.0,58935.0,203.40331318661123,range,57820.6,54181.57392523089,6.1246394933976,57935.0,54145.0007988513,6.99972138744359,2021-04-30 23:30:00,2021-05-01 06:30:00,57500.0,56926.0,2021-05-01 00:00:00,2021-05-01 07:00:00,57410.0,15.6794425087108,6,LONG,2021-05-02 03:35:00,2021-05-02 10:35:00,56926.0,-203.40331318661123,20136.92800547451
2021-05-05 14:45:00,2021-05-05 21:45:00,56370.0,55588.85,58322.875,201.3692800547451,range,56982.56,55669.07506820275,1.2590921098267116,57058.51,55669.07506820275,2.4958829118231103,2021-05-05 14:40:00,2021-05-05 21:40:00,56370.0,55588.85,2021-05-05 14:45:00,2021-05-05 21:45:00,56350.0,2.5603277219484046,1,LONG,2021-05-06 10:20:00,2021-05-06 17:20:00,58322.875,503.42320013686276,20640.351205611372
2021-05-08 12:50:00,2021-05-08 19:50:00,58842.41,58238.53,60352.110000000015,206.40351205611373,range,58900.0,56485.35783071454,4.172855160711732,59469.53,56485.35783071454,5.2830897844870846,2021-05-08 12:45:00,2021-05-08 19:45:00,58842.41,58238.53,2021-05-08 12:50:00,2021-05-08 19:50:00,58824.56,2.9558852752211835,1,LONG,2021-05-08 15:45:00,2021-05-08 22:45:00,58238.53,-206.40351205611373,20433.94769355526
2021-05-10 03:05:00,2021-05-10 10:05:00,59181.2,58688.74,60412.34999999999,204.3394769355526,range,59428.55,57066.65132313401,3.705401715079754,59544.3,57066.65132313401,4.341675250640812,2021-05-10 03:00:00,2021-05-10 10:00:00,59181.2,58688.74,2021-05-10 03:05:00,2021-05-10 10:05:00,59156.18,5.08061568452196,1,LONG,2021-05-10 07:50:00,2021-05-10 14:50:00,58688.74,-204.3394769355526,20229.60821661971
2021-05-12 04:50:00,2021-05-12 11:50:00,57371.28,56969.59,58375.505000000005,202.2960821661971,range,57407.56,56889.589531169615,0.846711099165986,57922.01,56884.38379781453,1.8240967606742993,2021-05-12 03:35:00,2021-05-12 10:35:00,57371.28,56969.59,2021-05-12 04:50:00,2021-05-12 11:50:00,57367.71,0.888745052154569,15,LONG,2021-05-12 06:55:00,2021-05-12 13:55:00,56969.59,-202.2960821661971,20027.31213445351
2021-06-01 00:05:00,2021-06-01 07:05:00,37500.0,36794.25,39264.375,200.2731213445351,range,37777.37,37210.807982680504,0.7771720986389172,37893.76,37210.807982680504,1.835359279587191,2021-06-01 00:00:00,2021-06-01 07:00:00,37500.0,36794.25,2021-06-01 00:05:00,2021-06-01 07:05:00,37492.85,1.0131066241589026,1,LONG,2021-06-01 02:10:00,2021-06-01 09:10:00,36794.25,-200.2731213445351,19827.039013108973
2021-06-01 05:20:00,2021-06-01 12:20:00,36950.0,36458.48,38178.79999999999,198.27039013108973,range,37259.17,37198.08597591081,-0.6669320998706008,37893.76,37198.08597591081,1.870187687989381,2021-06-01 05:15:00,2021-06-01 12:15:00,36950.0,36458.48,2021-06-01 05:20:00,2021-06-01 12:20:00,36930.67,3.9326985677087145,1,LONG,2021-06-01 08:10:00,2021-06-01 15:10:00,36458.48,-198.27039013108973,19628.768622977885
2021-06-10 03:20:00,2021-06-10 10:20:00,37220.64,36738.45,38426.115000000005,196.28768622977884,range,36948.46,35712.48920978688,4.223034640217172,37661.7,35712.48920978688,5.458064764858069,2021-06-10 03:00:00,2021-06-10 10:00:00,37220.64,36738.45,2021-06-10 03:20:00,2021-06-10 10:20:00,37208.78,2.459611356519323,4,LONG,2021-06-10 04:35:00,2021-06-10 11:35:00,36738.45,-196.28768622977884,19432.480936748107
2021-06-10 12:05:00,2021-06-10 19:05:00,37595.99,36229.23,41012.889999999985,194.32480936748107,range,37748.92,35838.34512460248,4.904369521769363,38489.0,35799.170134568936,7.513665415483108,2021-06-10 10:00:00,2021-06-10 17:00:00,37595.99,36229.23,2021-06-10 12:05:00,2021-06-10 19:05:00,37551.4,3.262460124674169,25,LONG,2021-06-10 17:25:00,2021-06-11 00:25:00,36229.23,-194.32480936748107,19238.156127380626
2021-06-28 07:55:00,2021-06-28 14:55:00,34960.72,34383.0,36405.020000000004,192.38156127380626,range,35007.58,33672.0871708877,3.8270060972829403,35279.38,33672.0871708877,4.773368579604808,2021-06-28 07:40:00,2021-06-28 14:40:00,34960.72,34383.0,2021-06-28 07:55:00,2021-06-28 14:55:00,34954.0,1.1631932424013625,3,LONG,2021-06-28 09:45:00,2021-06-28 16:45:00,34383.0,-192.38156127380626,19045.77456610682
