entry_time,entry_time_vn,entry_price,sl,tp,risk,breakout_type,close_1h_at_entry,ema200_1h_at_entry,entry_dist_ema200_pct,h1_range_high_at_breakout,ema200_1h_at_breakout,h1_range_high_dist_ema200_pct,breakout_time,breakout_time_vn,breakout_level,breakout_swing_low,retest_time,retest_time_vn,retest_low,retest_depth_pct,bars_since_breakout,side,exit_time,exit_price,result,balance
2024-11-10 09:10:00,2024-11-10 16:10:00,79262.9,78770.0,80495.14999999998,131.961074626109,range,79414.7,73726.37424600431,7.509559246087215,79882.8,73726.37424600431,8.350370972338089,2024-11-10 09:05:00,2024-11-10 16:05:00,79262.9,78770.0,2024-11-10 09:10:00,2024-11-10 16:10:00,79254.1,1.785351998374612,1,LONG,2024-11-10 17:35:00,80495.14999999998,329.90268656527246,13526.010149176172
2024-11-10 21:55:00,2024-11-11 04:55:00,79782.6,78549.2,82866.10000000003,135.26010149176173,range,79931.9,74416.37239332551,7.211084649909378,81199.0,74416.37239332551,9.114429242566562,2024-11-10 21:50:00,2024-11-11 04:50:00,79782.6,78549.2,2024-11-10 21:55:00,2024-11-11 04:55:00,79771.3,0.9161666936924624,1,LONG,2024-11-11 15:10:00,82866.10000000003,338.1502537294043,13864.160402905576
2024-11-19 17:10:00,2024-11-20 00:10:00,92699.9,91535.4,95611.15,138.64160402905577,range,92904.0,88342.24096658481,4.932701486555515,93333.9,88342.24096658481,5.650364965615107,2024-11-19 17:05:00,2024-11-20 00:05:00,92699.9,91535.4,2024-11-19 17:10:00,2024-11-20 00:10:00,92601.6,8.441391155001147,1,LONG,2024-11-19 22:30:00,91535.4,-138.64160402905577,13725.518798876521
2024-11-20 14:40:00,2024-11-20 21:40:00,93981.0,93105.4,96170.00000000001,137.25518798876521,range,94640.1,89198.4546483324,5.361690816867776,94657.5,89143.76474530056,6.1852169587555,2024-11-20 13:15:00,2024-11-20 20:15:00,93981.0,93105.4,2024-11-20 14:40:00,2024-11-20 21:40:00,93825.7,17.736409319324107,17,LONG,2024-11-20 18:45:00,93105.4,-137.25518798876521,13588.263610887756
2024-11-21 11:40:00,2024-11-21 18:40:00,97787.7,97311.0,98979.44999999998,135.88263610887756,range,98014.0,90416.6639640929,8.152298163571201,98438.9,90416.6639640929,8.87251938325545,2024-11-21 11:00:00,2024-11-21 18:00:00,97787.7,97311.0,2024-11-21 11:40:00,2024-11-21 18:40:00,97780.0,1.6152716593239222,8,LONG,2024-11-21 12:55:00,97311.0,-135.88263610887756,13452.380974778878
2024-11-29 14:40:00,2024-11-29 21:40:00,97455.6,96822.0,99039.60000000002,134.5238097477888,range,98082.0,95077.53452306386,2.501185468118415,98144.4,95077.53452306386,3.2256468284757345,2024-11-29 14:35:00,2024-11-29 21:35:00,97455.6,96822.0,2024-11-29 14:40:00,2024-11-29 21:40:00,97404.3,8.096590909091294,1,LONG,2024-11-30 01:05:00,96822.0,-134.5238097477888,13317.85716503109
2024-12-01 22:10:00,2024-12-02 05:10:00,97519.8,96852.7,99187.55000000002,133.1785716503109,range,97645.5,95871.39248274548,1.7193945707539404,97878.9,95853.56225644141,2.1129498955292947,2024-12-01 21:45:00,2024-12-02 04:45:00,97519.8,96852.7,2024-12-01 22:10:00,2024-12-02 05:10:00,97510.6,1.3791035826708153,5,LONG,2024-12-02 03:50:00,96852.7,-133.1785716503109,13184.678593380779
2024-12-03 13:15:00,2024-12-03 20:15:00,94661.3,95088.0,93594.55000000002,131.84678593380778,range,93775.1,95855.52297356307,1.2458572406854787,93719.1,95855.52297356307,2.228794864696831,2024-12-03 13:10:00,2024-12-03 20:10:00,94661.3,95088.0,2024-12-03 13:15:00,2024-12-03 20:15:00,94722.0,14.225451136629367,1,SHORT,2024-12-03 14:50:00,95088.0,-131.84678593380778,13052.831807446972
2024-12-09 00:20:00,2024-12-09 07:20:00,100364.5,99946.2,101410.25,130.52831807446972,range,99728.3,98411.02543837072,1.9850159602824478,101457.9,98397.78649805284,3.109941403008807,2024-12-08 23:10:00,2024-12-09 06:10:00,100364.5,99946.2,2024-12-09 00:20:00,2024-12-09 07:20:00,100302.0,14.94142959598364,14,LONG,2024-12-09 00:30:00,99946.2,-130.52831807446972,12922.303489372502
2024-12-09 20:30:00,2024-12-10 03:30:00,96926.9,98183.4,93785.65,129.223034893725,range,96296.7,98442.02303409301,1.539101886973913,96150.2,98442.02303409301,2.328094205560261,2024-12-09 20:20:00,2024-12-10 03:20:00,96926.9,98183.4,2024-12-09 20:30:00,2024-12-10 03:30:00,97199.2,21.671309192200788,2,SHORT,2024-12-10 00:35:00,98183.4,-129.223034893725,12793.080454478777
2024-12-16 18:50:00,2024-12-17 01:50:00,107170.0,106327.2,109277.0,127.93080454478778,range,107039.5,101123.27325259741,5.979559949862751,107777.0,101123.27325259741,6.579817418273376,2024-12-16 18:15:00,2024-12-17 01:15:00,107170.0,106327.2,2024-12-16 18:50:00,2024-12-17 01:50:00,107099.0,8.424299952539126,7,LONG,2024-12-16 19:00:00,106327.2,-127.93080454478778,12665.14964993399
2024-12-19 02:00:00,2024-12-19 09:00:00,100000.0,100970.1,97574.74999999999,126.6514964993399,range,100526.3,102697.84781878215,2.626976003959397,99601.1,102719.67241997593,3.036003081498786,2024-12-19 01:55:00,2024-12-19 08:55:00,100000.0,100970.1,2024-12-19 02:00:00,2024-12-19 09:00:00,100050.0,5.154107823935646,1,SHORT,2024-12-19 03:10:00,100970.1,-126.6514964993399,12538.49815343465
2024-12-22 19:45:00,2024-12-23 02:45:00,95326.5,96426.7,92576.0,125.3849815343465,range,94795.4,99541.48344854549,4.234398868210841,94642.4,99541.48344854549,4.921650028530978,2024-12-22 19:40:00,2024-12-23 02:40:00,95326.5,96426.7,2024-12-22 19:45:00,2024-12-23 02:45:00,95340.7,1.290674422831951,1,SHORT,2024-12-23 04:10:00,96426.7,-125.3849815343465,12413.113171900302
2024-12-23 15:55:00,2024-12-23 22:55:00,93220.3,95580.0,87321.05000000002,124.13113171900302,range,93217.6,98761.1167930156,5.610322131763741,93060.3,98761.1167930156,5.772329210253274,2024-12-23 15:50:00,2024-12-23 22:50:00,93220.3,95580.0,2024-12-23 15:55:00,2024-12-23 22:55:00,93428.3,8.814679832182067,1,SHORT,2024-12-24 13:50:00,95580.0,-124.13113171900302,12288.9820401813
